application,schema,effective_properties,objects,current_shallow_bytes,compact_shallow_bytes,slack_upper_bound_bytes
kuaishou-foreground-api26,translated-v2,80,10,13184,12960,224
kuaishou-foreground-api26,translated-v2,81,5,6848,6560,288
kuaishou-foreground-api26,translated-v2,82,5,6976,6640,336
kuaishou-foreground-api26,translated-v2,83,2,2816,2688,128
kuaishou-foreground-api26,translated-v2,84,16,21760,21760,0
kuaishou-foreground-api26,translated-v2,85,2,2848,2752,96
kuaishou-foreground-api26,translated-v2,86,1,1424,1392,32
kuaishou-foreground-api26,translated-v2,87,25,37472,35200,2272
kuaishou-foreground-api26,translated-v2,88,28,42224,39872,2352
kuaishou-foreground-api26,translated-v2,89,5,7552,7200,352
kuaishou-foreground-api26,translated-v2,90,1,1568,1456,112
kuaishou-foreground-api26,translated-v2,91,2,2960,2944,16
kuaishou-foreground-api26,translated-v2,92,11,16480,16368,112
kuaishou-foreground-api26,translated-v2,93,3,4576,4512,64
kuaishou-foreground-api26,translated-v2,94,5,7744,7600,144
kuaishou-foreground-api26,translated-v2,95,4,6272,6144,128
kuaishou-foreground-api26,translated-v2,96,6,9488,9312,176
kuaishou-foreground-api26,translated-v2,97,19,31856,29792,2064
kuaishou-foreground-api26,translated-v2,98,1,1616,1584,32
kuaishou-foreground-api26,translated-v2,99,3,4848,4800,48
kuaishou-foreground-api26,translated-v2,100,3,4848,4848,0
kuaishou-foreground-api26,translated-v2,101,27,46128,44064,2064
kuaishou-foreground-api26,translated-v2,102,25,43440,41200,2240
kuaishou-foreground-api26,translated-v2,103,3,5008,4992,16
kuaishou-foreground-api26,translated-v2,104,3,5040,5040,0
kuaishou-foreground-api26,translated-v2,105,19,34256,32224,2032
kuaishou-foreground-api26,translated-v2,106,2,3520,3424,96
kuaishou-foreground-api26,translated-v2,108,3,5232,5232,0
kuaishou-foreground-api26,translated-v2,110,22,41232,39072,2160
kuaishou-foreground-api26,translated-v2,111,1,1792,1792,0
kuaishou-foreground-api26,translated-v2,112,20,38176,36160,2016
kuaishou-foreground-api26,translated-v2,113,18,34848,32832,2016
kuaishou-foreground-api26,translated-v2,115,3,5648,5568,80
kuaishou-foreground-api26,translated-v2,116,7,13216,13104,112
kuaishou-foreground-api26,translated-v2,117,1,1888,1888,0
kuaishou-foreground-api26,translated-v2,118,4,7824,7616,208
kuaishou-foreground-api26,translated-v2,120,21,42672,40656,2016
kuaishou-foreground-api26,translated-v2,122,19,39440,37392,2048
kuaishou-foreground-api26,translated-v2,124,3,6112,6000,112
kuaishou-foreground-api26,translated-v2,125,12,24896,24192,704
kuaishou-foreground-api26,translated-v2,126,1,2144,2032,112
kuaishou-foreground-api26,translated-v2,127,2,4096,4096,0
kuaishou-foreground-api26,translated-v2,128,1,2064,2064,0
kuaishou-foreground-api26,translated-v2,129,1,2112,2080,32
kuaishou-foreground-api26,translated-v2,130,2,4272,4192,80
kuaishou-foreground-api26,translated-v2,131,1,2224,2112,112
kuaishou-foreground-api26,translated-v2,132,1,2128,2128,0
kuaishou-foreground-api26,translated-v2,133,2,4336,4288,48
kuaishou-foreground-api26,translated-v2,134,1,2192,2160,32
kuaishou-foreground-api26,translated-v2,135,29,65392,63104,2288
kuaishou-foreground-api26,translated-v2,136,7,15472,15344,128
kuaishou-foreground-api26,translated-v2,139,2,4640,4480,160
kuaishou-foreground-api26,translated-v2,140,2,4512,4512,0
kuaishou-foreground-api26,translated-v2,144,3,6960,6960,0
kuaishou-foreground-api26,translated-v2,147,1,2432,2368,64
kuaishou-foreground-api26,translated-v2,148,2,4768,4768,0
kuaishou-foreground-api26,translated-v2,149,18,45216,43200,2016
kuaishou-foreground-api26,translated-v2,151,3,7536,7296,240
kuaishou-foreground-api26,translated-v2,152,1,2448,2448,0
kuaishou-foreground-api26,translated-v2,153,1,2576,2464,112
kuaishou-foreground-api26,translated-v2,154,1,2480,2480,0
kuaishou-foreground-api26,translated-v2,156,1,2512,2512,0
kuaishou-foreground-api26,translated-v2,157,1,2576,2528,48
kuaishou-foreground-api26,translated-v2,160,1,2576,2576,0
kuaishou-foreground-api26,translated-v2,164,3,7920,7920,0
kuaishou-foreground-api26,translated-v2,165,1,2656,2656,0
kuaishou-foreground-api26,translated-v2,168,1,2736,2704,32
kuaishou-foreground-api26,translated-v2,169,1,2800,2720,80
kuaishou-foreground-api26,translated-v2,170,1,2736,2736,0
kuaishou-foreground-api26,translated-v2,178,1,2896,2864,32
kuaishou-foreground-api26,translated-v2,179,1,2896,2880,16
kuaishou-foreground-api26,translated-v2,185,1,3024,2976,48
kuaishou-foreground-api26,translated-v2,186,1,2992,2992,0
kuaishou-foreground-api26,translated-v2,191,1,3088,3072,16
kuaishou-foreground-api26,translated-v2,192,1,3088,3088,0
kuaishou-foreground-api26,translated-v2,193,1,3152,3104,48
kuaishou-foreground-api26,translated-v2,194,1,3152,3120,32
kuaishou-foreground-api26,translated-v2,196,1,3264,3152,112
kuaishou-foreground-api26,translated-v2,197,1,3280,3168,112
kuaishou-foreground-api26,translated-v2,198,1,3200,3184,16
kuaishou-foreground-api26,translated-v2,200,1,3216,3216,0
kuaishou-foreground-api26,translated-v2,204,1,3280,3280,0
kuaishou-foreground-api26,translated-v2,208,1,3424,3344,80
kuaishou-foreground-api26,translated-v2,214,19,67376,65360,2016
kuaishou-foreground-api26,translated-v2,218,1,3504,3504,0
kuaishou-foreground-api26,translated-v2,231,1,3712,3712,0
kuaishou-foreground-api26,translated-v2,232,2,7456,7456,0
kuaishou-foreground-api26,translated-v2,234,1,3760,3760,0
kuaishou-foreground-api26,translated-v2,243,1,3984,3904,80
kuaishou-foreground-api26,translated-v2,248,1,3984,3984,0
kuaishou-foreground-api26,translated-v2,249,2,8080,8000,80
kuaishou-foreground-api26,translated-v2,252,1,4048,4048,0
kuaishou-foreground-api26,translated-v2,269,1,4320,4320,0
kuaishou-foreground-api26,translated-v2,271,1,4368,4352,16
kuaishou-foreground-api26,translated-v2,286,1,4624,4592,32
kuaishou-foreground-api26,translated-v2,291,2,9472,9344,128
kuaishou-foreground-api26,translated-v2,318,1,5136,5104,32
kuaishou-foreground-api26,translated-v2,319,1,5120,5120,0
kuaishou-foreground-api26,translated-v2,332,2,10784,10656,128
kuaishou-foreground-api26,translated-v2,359,1,5840,5760,80
kuaishou-foreground-api26,translated-v2,374,18,110016,108000,2016
kuaishou-foreground-api26,translated-v2,378,1,6096,6064,32
kuaishou-foreground-api26,translated-v2,431,1,6928,6912,16
kuaishou-foreground-api26,translated-v2,472,1,7568,7568,0
kuaishou-foreground-api26,translated-v2,488,1,7824,7824,0
kuaishou-foreground-api26,translated-v2,502,1,8080,8048,32
kuaishou-foreground-api26,translated-v2,553,1,8864,8864,0
kuaishou-foreground-api26,translated-v2,683,2,22016,21888,128
kuaishou-foreground-api26,translated-v2,689,1,11088,11040,48
kuaishou-foreground-api26,translated-v2,741,1,11920,11872,48
kuaishou-foreground-api26,translated-v2,817,6,78816,78528,288
kuaishou-foreground-api26,translated-v2,818,1,13136,13104,32
kuaishou-foreground-api26,translated-v2,827,1,13264,13248,16
kuaishou-foreground-api26,translated-v2,833,7,93856,93408,448
kuaishou-foreground-api26,translated-v2,843,1,13520,13504,16
kuaishou-foreground-api26,translated-v2,933,1,14992,14944,48
kuaishou-foreground-api26,translated-v2,934,1,14992,14960,32
kuaishou-foreground-api26,translated-v2,935,1,14992,14976,16
kuaishou-foreground-api26,translated-v2,937,1,15056,15008,48
kuaishou-foreground-api26,translated-v2,941,1,15120,15072,48
kuaishou-foreground-api26,translated-v2,1023,2,32768,32768,0
kuaishou-background,translated-v2,0,2,32,32,0
kuaishou-background,translated-v2,1,7466,446368,238912,207456
kuaishou-background,translated-v2,2,4963,422688,238224,184464
kuaishou-background,translated-v2,3,17013,1819088,1088832,730256
kuaishou-background,translated-v2,4,11103,1494352,888240,606112
kuaishou-background,translated-v2,5,3212,493744,308352,185392
kuaishou-background,translated-v2,6,2419,411376,270928,140448
kuaishou-background,translated-v2,7,2321,412304,297088,115216
kuaishou-background,translated-v2,8,1676,319904,241344,78560
kuaishou-background,translated-v2,9,1212,280832,193920,86912
kuaishou-background,translated-v2,10,1238,307568,217888,89680
kuaishou-background,translated-v2,11,1044,278688,200448,78240
kuaishou-background,translated-v2,12,949,257600,197392,60208
kuaishou-background,translated-v2,13,593,171456,132832,38624
kuaishou-background,translated-v2,14,634,198224,152160,46064
kuaishou-background,translated-v2,15,399,128256,102144,26112
kuaishou-background,translated-v2,16,453,146592,123216,23376
kuaishou-background,translated-v2,17,437,160416,125856,34560
kuaishou-background,translated-v2,18,340,125664,103360,22304
kuaishou-background,translated-v2,19,347,137904,111040,26864
kuaishou-background,translated-v2,20,286,111840,96096,15744
kuaishou-background,translated-v2,21,341,148256,120032,28224
kuaishou-background,translated-v2,22,175,75472,64400,11072
kuaishou-background,translated-v2,23,227,104160,87168,16992
kuaishou-background,translated-v2,24,247,115680,98800,16880
kuaishou-background,translated-v2,25,265,133296,110240,23056
kuaishou-background,translated-v2,26,177,91264,76464,14800
kuaishou-background,translated-v2,27,167,88416,74816,13600
kuaishou-background,translated-v2,28,160,84400,74240,10160
kuaishou-background,translated-v2,29,122,67760,58560,9200
kuaishou-background,translated-v2,30,93,53312,46128,7184
kuaishou-background,translated-v2,31,127,74912,65024,9888
kuaishou-background,translated-v2,32,123,72368,64944,7424
kuaishou-background,translated-v2,33,43,26032,23392,2640
kuaishou-background,translated-v2,34,71,45184,39760,5424
kuaishou-background,translated-v2,35,55,35888,31680,4208
kuaishou-background,translated-v2,36,88,56336,52096,4240
kuaishou-background,translated-v2,37,73,50112,44384,5728
kuaishou-background,translated-v2,38,86,60880,53664,7216
kuaishou-background,translated-v2,39,99,72768,63360,9408
kuaishou-background,translated-v2,40,72,52288,47232,5056
kuaishou-background,translated-v2,41,88,67472,59136,8336
kuaishou-background,translated-v2,42,30,22848,20640,2208
kuaishou-background,translated-v2,43,26,20384,18304,2080
kuaishou-background,translated-v2,44,77,59280,55440,3840
kuaishou-background,translated-v2,45,32,25856,23552,2304
kuaishou-background,translated-v2,46,33,27376,24816,2560
kuaishou-background,translated-v2,47,18,14960,13824,1136
kuaishou-background,translated-v2,48,76,63344,59584,3760
kuaishou-background,translated-v2,49,19,15840,15200,640
kuaishou-background,translated-v2,50,23,20128,18768,1360
kuaishou-background,translated-v2,51,39,35216,32448,2768
kuaishou-background,translated-v2,52,51,44944,43248,1696
kuaishou-background,translated-v2,53,31,29440,26784,2656
kuaishou-background,translated-v2,54,31,29424,27280,2144
kuaishou-background,translated-v2,55,16,15264,14336,928
kuaishou-background,translated-v2,56,37,34064,33744,320
kuaishou-background,translated-v2,57,12,11728,11136,592
kuaishou-background,translated-v2,58,57,58704,53808,4896
kuaishou-background,translated-v2,59,15,14960,14400,560
kuaishou-background,translated-v2,60,34,33520,33184,336
kuaishou-background,translated-v2,61,32,33792,31744,2048
kuaishou-background,translated-v2,62,12,12384,12096,288
kuaishou-background,translated-v2,63,35,38848,35840,3008
kuaishou-background,translated-v2,64,27,28304,28080,224
kuaishou-background,translated-v2,65,24,27088,25344,1744
kuaishou-background,translated-v2,66,10,11296,10720,576
kuaishou-background,translated-v2,67,8,8896,8704,192
kuaishou-background,translated-v2,68,22,24640,24288,352
kuaishou-background,translated-v2,69,12,14096,13440,656
kuaishou-background,translated-v2,70,7,8176,7952,224
kuaishou-background,translated-v2,71,30,37472,34560,2912
kuaishou-background,translated-v2,72,15,17664,17520,144
kuaishou-background,translated-v2,73,23,29072,27232,1840
kuaishou-background,translated-v2,74,10,12480,12000,480
kuaishou-background,translated-v2,75,18,23424,21888,1536
kuaishou-background,translated-v2,76,29,37760,35728,2032
kuaishou-background,translated-v2,77,5,6496,6240,256
kuaishou-background,translated-v2,78,28,38096,35392,2704
kuaishou-background,translated-v2,79,16,22080,20480,1600
kuaishou-background,translated-v2,80,10,13184,12960,224
kuaishou-background,translated-v2,81,4,5488,5248,240
kuaishou-background,translated-v2,82,5,6976,6640,336
kuaishou-background,translated-v2,83,2,2816,2688,128
kuaishou-background,translated-v2,84,11,14960,14960,0
kuaishou-background,translated-v2,85,3,4272,4128,144
kuaishou-background,translated-v2,86,1,1424,1392,32
kuaishou-background,translated-v2,87,18,26928,25344,1584
kuaishou-background,translated-v2,88,24,36080,34176,1904
kuaishou-background,translated-v2,89,4,6000,5760,240
kuaishou-background,translated-v2,90,1,1568,1456,112
kuaishou-background,translated-v2,91,3,4544,4416,128
kuaishou-background,translated-v2,92,11,16480,16368,112
kuaishou-background,translated-v2,93,5,7680,7520,160
kuaishou-background,translated-v2,94,5,7744,7600,144
kuaishou-background,translated-v2,95,2,3168,3072,96
kuaishou-background,translated-v2,96,6,9488,9312,176
kuaishou-background,translated-v2,97,14,23456,21952,1504
kuaishou-background,translated-v2,98,1,1616,1584,32
kuaishou-background,translated-v2,99,3,4848,4800,48
kuaishou-background,translated-v2,100,3,4848,4848,0
kuaishou-background,translated-v2,101,17,29200,27744,1456
kuaishou-background,translated-v2,102,14,24560,23072,1488
kuaishou-background,translated-v2,103,3,5008,4992,16
kuaishou-background,translated-v2,104,3,5040,5040,0
kuaishou-background,translated-v2,105,17,30448,28832,1616
kuaishou-background,translated-v2,106,2,3520,3424,96
kuaishou-background,translated-v2,108,3,5232,5232,0
kuaishou-background,translated-v2,109,2,3536,3520,16
kuaishou-background,translated-v2,110,15,28240,26640,1600
kuaishou-background,translated-v2,111,1,1792,1792,0
kuaishou-background,translated-v2,112,15,28576,27120,1456
kuaishou-background,translated-v2,113,13,25168,23712,1456
kuaishou-background,translated-v2,115,4,7520,7424,96
kuaishou-background,translated-v2,116,6,11344,11232,112
kuaishou-background,translated-v2,117,1,1888,1888,0
kuaishou-background,translated-v2,118,3,5888,5712,176
kuaishou-background,translated-v2,119,1,1936,1920,16
kuaishou-background,translated-v2,120,15,30496,29040,1456
kuaishou-background,translated-v2,122,14,29040,27552,1488
kuaishou-background,translated-v2,124,3,6112,6000,112
kuaishou-background,translated-v2,125,4,8320,8064,256
kuaishou-background,translated-v2,126,1,2144,2032,112
kuaishou-background,translated-v2,127,3,6256,6144,112
kuaishou-background,translated-v2,128,1,2064,2064,0
kuaishou-background,translated-v2,129,1,2112,2080,32
kuaishou-background,translated-v2,130,2,4272,4192,80
kuaishou-background,translated-v2,131,1,2224,2112,112
kuaishou-background,translated-v2,132,1,2128,2128,0
kuaishou-background,translated-v2,133,2,4336,4288,48
kuaishou-background,translated-v2,134,1,2192,2160,32
kuaishou-background,translated-v2,135,13,29744,28288,1456
kuaishou-background,translated-v2,136,8,17584,17536,48
kuaishou-background,translated-v2,137,1,2240,2208,32
kuaishou-background,translated-v2,138,1,2272,2224,48
kuaishou-background,translated-v2,139,3,6992,6720,272
kuaishou-background,translated-v2,140,1,2256,2256,0
kuaishou-background,translated-v2,141,1,2272,2272,0
kuaishou-background,translated-v2,144,3,6960,6960,0
kuaishou-background,translated-v2,147,1,2432,2368,64
kuaishou-background,translated-v2,148,2,4768,4768,0
kuaishou-background,translated-v2,149,13,32656,31200,1456
kuaishou-background,translated-v2,151,3,7536,7296,240
kuaishou-background,translated-v2,152,1,2448,2448,0
kuaishou-background,translated-v2,153,1,2576,2464,112
kuaishou-background,translated-v2,154,1,2480,2480,0
kuaishou-background,translated-v2,156,1,2512,2512,0
kuaishou-background,translated-v2,157,1,2576,2528,48
kuaishou-background,translated-v2,160,1,2576,2576,0
kuaishou-background,translated-v2,164,3,7920,7920,0
kuaishou-background,translated-v2,165,2,5360,5312,48
kuaishou-background,translated-v2,169,1,2800,2720,80
kuaishou-background,translated-v2,170,2,5472,5472,0
kuaishou-background,translated-v2,178,2,5792,5728,64
kuaishou-background,translated-v2,186,1,3024,2992,32
kuaishou-background,translated-v2,189,1,3056,3040,16
kuaishou-background,translated-v2,191,1,3088,3072,16
kuaishou-background,translated-v2,192,1,3088,3088,0
kuaishou-background,translated-v2,193,1,3152,3104,48
kuaishou-background,translated-v2,194,1,3152,3120,32
kuaishou-background,translated-v2,196,1,3264,3152,112
kuaishou-background,translated-v2,197,1,3280,3168,112
kuaishou-background,translated-v2,198,1,3200,3184,16
kuaishou-background,translated-v2,200,1,3216,3216,0
kuaishou-background,translated-v2,204,1,3280,3280,0
kuaishou-background,translated-v2,208,1,3424,3344,80
kuaishou-background,translated-v2,213,1,3424,3424,0
kuaishou-background,translated-v2,214,13,46176,44720,1456
kuaishou-background,translated-v2,218,1,3504,3504,0
kuaishou-background,translated-v2,231,1,3712,3712,0
kuaishou-background,translated-v2,232,2,7456,7456,0
kuaishou-background,translated-v2,234,1,3760,3760,0
kuaishou-background,translated-v2,243,1,3984,3904,80
kuaishou-background,translated-v2,248,1,3984,3984,0
kuaishou-background,translated-v2,249,1,4032,4000,32
kuaishou-background,translated-v2,252,1,4048,4048,0
kuaishou-background,translated-v2,254,1,4112,4080,32
kuaishou-background,translated-v2,268,1,4304,4304,0
kuaishou-background,translated-v2,271,1,4368,4352,16
kuaishou-background,translated-v2,286,1,4624,4592,32
kuaishou-background,translated-v2,291,3,14256,14016,240
kuaishou-background,translated-v2,318,1,5136,5104,32
kuaishou-background,translated-v2,319,1,5120,5120,0
kuaishou-background,translated-v2,332,2,10784,10656,128
kuaishou-background,translated-v2,359,1,5840,5760,80
kuaishou-background,translated-v2,374,13,79456,78000,1456
kuaishou-background,translated-v2,378,1,6096,6064,32
kuaishou-background,translated-v2,431,1,6928,6912,16
kuaishou-background,translated-v2,472,1,7568,7568,0
kuaishou-background,translated-v2,490,1,7888,7856,32
kuaishou-background,translated-v2,503,1,8080,8064,16
kuaishou-background,translated-v2,553,1,8864,8864,0
kuaishou-background,translated-v2,683,2,22016,21888,128
kuaishou-background,translated-v2,689,1,11088,11040,48
kuaishou-background,translated-v2,741,1,11920,11872,48
kuaishou-background,translated-v2,817,1,13136,13088,48
kuaishou-background,translated-v2,818,1,13136,13104,32
kuaishou-background,translated-v2,827,1,13264,13248,16
kuaishou-background,translated-v2,833,3,40224,40032,192
kuaishou-background,translated-v2,843,1,13520,13504,16
kuaishou-background,translated-v2,933,1,14992,14944,48
kuaishou-background,translated-v2,934,1,14992,14960,32
kuaishou-background,translated-v2,935,1,14992,14976,16
kuaishou-background,translated-v2,937,1,15056,15008,48
kuaishou-background,translated-v2,949,1,15248,15200,48
kuaishou-background,translated-v2,1023,3,49152,49152,0
